"artist","song","text","songID","Popular"
"ABBA","We Wish You A Merry Christmas","We wish you a merry Christmas  
We wish you a merry Christmas  
We wish you a merry Christmas  
And a happy New Year  
Glad tidings we bring  
To you and your kin  
Glad tidings for Christmas  
And a happy New Year  
  
We want some milk and cookies  
We want some milk and cookies  
We want some milk and cookies  
Please bring it right here  
Glad tidings we bring  
To you and your kin  
Glad tidings for Christmas  
And a happy New Year  
  
We won't go until we get some  
We won't go until we get some  
We won't go until we get some  
So bring it out here  
Glad tidings we bring  
To you and your kin  
Glad tidings for Christmas  
And a happy New Year  
  
We wish you a Merry Christmas  
We wish you a Merry Christmas  
We wish you a Merry Christmas  
And a happy New Year  
Glad tidings we bring  
To you and your kin  
Glad tidings for Christmas  
And a happy New Year

",1,0
"Air Supply","Sleigh Ride","Just hear those sleigh bells jingling ring ting tingling too  
Come on it's lovely weather for a sleigh ride together with you  
Outside the snow is falling and friends are calling Yoo-hoo  
Come on it's lovely weather for a sleigh ride together with you  
  
Giddy up, giddy up, giddy up, let's go  
Let's look at the show  
We're riding in a wonderland of snow  
  
Giddy up, giddy up, giddy up it's grand  
Just holding your hand  
We're gliding along with a song of a wintery fairyland  
  
Our cheeks are nice and rosy and comfy cozy are we  
We're snuggled up together like two birds of a feather would be  
  
Let's take that road before us and sing a chorus or two  
Come on it's lovely weather for a sleigh ride together with you  
  
There's a Christmas party at the home of Farmer Gray  
It would be the perfect ending of a perfect day  
  
We'll be singing the songs we love to sing  
Without a single stop  
At the fireplace while we watch the chestnuts pop  
  
There's a happy feeling nothin' in the world can buy  
When they pass around the coffee and the pumpkin pie  
  
It will nearly be like a picture print of Currier and Ives  
These wonderful things are the things we'll remember all through our lives  
These wonderful things are the things we'll remember all through our lives  
  
Our cheeks are nice and rosy and comfy cozy are we  
We're snuggled up together like two birds of a feather would be  
  
Let's take that road before us and sing a chorus or two  
Come on it's lovely weather for a sleigh ride together with you

",2,1
"Alabama","Christmas In Dixie","By now in New York City, there's snow on the ground  
And out in California, the sunshine's falling down  
And, maybe down in Memphis, Graceland's all in lights  
And in Atlanta, Georgia, there's peace on earth tonight  
  
[Chorus]  
Christmas in Dixie, it's snowin' in the pines  
Merry Christmas from Dixie, to everyone tonight  
  
It's windy in Chicago. The kids are out of school  
There's magic in Motown. The city's on the move  
In Jackson, Mississippi, to Charlotte, Caroline  
And all across the nation, it's the peaceful Christmas time  
  
[Chorus]  
  
And from Fort Payne, Alabama  
God bless why'all...We love ya...Happy New Year...Good night  
Merry Christmas...Merry Christmas tonight

",3,0
"Alabama","Christmas In Your Arms","All my friends are asking me where I plan to spend the holidays  
People seem to celebrate the season in so many different ways  
Some go where the weather's freezing cold while others like it warm  
I don't care about the weather just whether I spend Christmas in your arms  
  
[Chorus:]  
We could drive up to the mountains, build a fire and watch it snow  
We could sail down to the islands where the gentle breezes blow  
I'd be happy in the city, I'd be happy on the farm  
I don't care where I spend Christmas as long as I spend Christmas in your arms  
  
It was only last December I had no Christmas spirit in my heart  
My world lay cold and shattered in the ashes of a dream that fell apart  
But now you're here beside me, no greater gift is wrapped beneath my tree  
And the arms you wrap around me and the precious gift of love you give to me  
  
[Chorus]  
I don't care where I spend Christmas as long as I spend Christmas in your arms

",4,0
"Alabama","Christmas Is Love","It's that time of year when the whole world is heart tot heart  
You can feel love all around you, you can see it everywhere  
  
Christmas is love, it's in the songs we're singing  
Christmas is love, it's families comin' home  
Christmas is love, it's on the children's faces  
Christmas is love  
  
Christmas is love, a warm and friendly feeling  
Christmas is love, hear the church bells ring  
Christmas is love, it's sharing in the giving  
Christmas is love  
  
We all gather 'round, watch the lights dancing on the tree  
The spirit of the season, you feel it in the air  
  
Christmas is love, it's in the songs we're singing  
Christmas is love, it's families comin' home  
Christmas is love, it's on the children's faces  
  
Christmas is love, a warm and friendly feeling  
Christmas is love, just hear the church bells ring  
Christmas is love, it's sharing in the giving  
Christmas is love, Christmas is love, Christmas is love

",5,0
"Alabama","Christmas Shoes","It was almost Christmas time  
There I stood in another line  
Tryin to buy that last gift or two  
Not really in the Christmas mood  
  
Standin right in front of me  
Was a little boy waiting anxiously  
Pacing round like little boys do  
And in his hands he held a pair of shoes  
  
And his clothes were worn and old  
He was dirty from head to toe  
And when it came his time to pay  
I couldn't believe what I heard him say  
  
Sir, I wanna buy these shoes  
For my mama, please  
Its Christmas eve and these shoes are just her size  
Could you hurry, sir?  
Daddy says theres not much time  
You see, shes been sick for quite a while  
And I, know these shoes will make her smile  
And I, want her to look beautiful  
If mama meets Jesus tonight  
  
He counted pennies for what seemed like years  
And the, cashier said Son, theres not enough here.  
He searched his pockets franticly  
Then he turned and he looked at me  
He said Mama made Christmas good at our house  
Most years she just did without  
Tell me, sir, what am I gonna do  
Somehow I've gotta buy her these Christmas shoes  
  
So I laid the money down  
I just had to help him out  
And Ill never forget the look on his face  
When he said Mamas gonna look so great  
  
Sir, I wanna buy these shoes  
For my mama, please  
Its Christmas eve and these shoes are just her size  
Could you hurry, sir?  
Daddy says theres not much time  
You see, shes been sick for quite a while  
And I, know these shoes will make her smile  
And I, want her to look beautiful  
If mama meets Jesus tonight  
  
I knew I caught a glimpse of heaven love  
As he thanked me and ran out  
I knew that god had sent that little boy to remind me  
What Christmas is all about  
  
Sir, I wanna buy these shoes  
For my mama, please  
Its Christmas eve and these shoes are just her size  
Could you hurry, sir?  
Daddy says theres not much time  
You see, shes been sick for quite a while  
And I, know these shoes will make her smile  
And I, want her to look beautiful  
If mama meets Jesus tonight  
  
I want her to look beautiful  
If mama meets Jesus tonight

",6,0
"Alabama","Hangin' Round The Mistletoe","Snowy days and frosty night, everything looks cold and white  
Hangin' 'round the mistletoe, hangin' 'round the mistletoe  
  
Christmas day will soon be here, and everybody's full of cheer  
Hangin' 'round the mistletoe, waitin' for you dear  
  
Well, I've waited all year long and nore the year is almost gone  
Hangin' 'round the mistletoe, hangin' 'round the mistletoe  
  
But if that's what I've gotta do just to get a kiss from you  
Hangin' 'round the mistletoe, waitin' for you dear  
  
Christmas is a special time to give and to receive  
For every little kiss you give me I will give you three  
  
You ain't gonna miss one kiss, that's one thing you'll never miss  
I'm hangin' 'round the mistletoe waitin' for you dear  
  
Well, I've had my eyes on you for a long, long time  
So, I'm asking Santa please, make that pretty girl mine  
  
Waited till I'm cold and blue just to get a kiss from you  
I'm hangin' 'round the mistletoe, waitin' for you dear  
  
Hangin' 'round the mistletoe, waitin' for you dear

",7,0
"Alabama","Happy Birthday Jesus","Happy birthday, Jesus, it's that time of year  
All the lights on the trees say Christmas time is near  
Another year's behind us, you helped us make it through  
So, happy birthday, Jesus, this song is just for you  
  
We all get so hung up on material things at times it seems like we forget  
What Christmas really means  
It should be thanks we're givin', that's why I wrote this tune  
Happy birthday, Jesus, this sing is just for you  
  
There's a gift for everyone but you underneath the tree  
No, it's not much, but I hope you like this song to you from me  
  
Happy birthday Jesus, that's why I wrote this tune  
So, happy birthday, Jesus, my song is just for you

",8,0
"Alabama","Happy Holidays","Smilin' faces on city streets, crowded shoppers, busy feet  
And every smile just seems to say, we're having some happy holidays  
  
Twinklin' lights on Christmas trees, kids up on santa's kneww  
Busy lines on telephones, sending a merry Christmas home  
  
Bells ringing everywhere, season spirit in the air  
Up and down the avenue, holiday dreams comin' true  
  
A choir singing songs of cheer, carols we all love to hear  
Rudolph with his glowin' nose, lovers under mistletoe  
  
Postman bringin' Christmas cards, reindeer out in the yard  
Frosty with his eyes of coal, present wrapped in pretty bows  
  
Sidewalks full of happy eyes, flakes fallin' from the sky  
Boys and girls at the big parade to see st. nick up on his sleigh  
  
The scene is set, it's beautiful, sounds of peace, joy and love  
From all of us we'd like to say, have yourself some happy holidays

",9,0
"Alison Krauss","Shimmy Down The Chimney (Fill Up My Stocking)","Tonight, I waited but my heart is so cold  
'Cause you never stay more than a minute, so I'm told  
I know you're just doing your job  
But what am I supposed to do?  
When all I want for Christmas, darling, is to be with you  
I watch you shimmy down the chimney, baby  
I watch you fill up my stocking  
But when I offer you some Christmas greetings  
You just keep on walking, yeah  
I'm not asking for a miracle, just a night  
And if you just look in my eyes, you just might  
There'll be no other woman who'll treat you like I can  
(Come on over here)  
I'll be your loving, darling, you'll be my loving man  
Oh, I watch you shimmy down the chimney, baby  
I watch you fill up my stocking  
But when I offer you some Christmas greetings  
You just keep on walking  
I watch you shimmy down the chimney, baby  
I watch you fill up my stocking  
But when I offer you some Christmas greetings  
You just keep on walking  
(Keep on walking)  
I watch you shimmy down the chimney, baby  
I watch you shimmy down the chimney, baby  
You just keep on walking  
I watch you shimmy down the chimney, baby  
I watch you fill up my stocking  
I watch you shimmy down the chimney, baby  

",10,0
"America","Christmas In California","Oh, look out kids it's that time of year  
When ole Santa's on his way  
Don't look now but the top is down  
On his candy apple sleigh  
  
Headin' on down the coast  
Over surf and sand  
The warm wind in his hair  
Make no mistake, it's here  
Holiday fun, good cheer  
It's Christmas time again  
In California, wo-oh  
  
The boulevard, lights of red and green  
As the snow birds make the scene  
Hollywood doesn't miss a beat  
It's another childhood dream  
  
Headin' on down the coast  
Over surf and sand  
The warm wind in your hair  
Make no mistake, it's here  
Holiday fun, good cheer  
It's Christmas time for sure  
In California  
  
People say it can't be true  
That the spirit lives here, too  
But you'll find Christmas everywhere  
Under palm trees, sun and moon - ah  
  
Headin' on down the coast  
Over surf and sand  
The warm wind in your hair  
Make no mistake, it's here  
Holiday fun, good cheer  
It's Christmas time again  
In California  
  
Make no mistake, it's here  
Holiday fun, good cheer  
It's Christmas time again  
In California  
In California  
In California, wo-oh

",11,0
